Calculation details: NOX  emissions by source category,,,,,,
,,,,,,
Pollutant: NOX,,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2015,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,PP_EX_OTH,GSL,[PJ],37.759,0.065,2.471
ITAL_WHOL,PP_EX_OTH,MD,[PJ],,,
ITAL_WHOL,PP_EX_S,BC1,[PJ],,,
ITAL_WHOL,PP_NEW_L,BC1,[PJ],,,
ITAL_WHOL,PP_NEW_L,HC1,[PJ],,,
ITAL_WHOL,TRA_OT,HC1,[PJ],,,
ITAL_WHOL,TRA_OT_CNS,LPG,[PJ],,,
ITAL_WHOL,TRA_OTS_L,HF,[PJ],36.819,1.24,45.656
ITAL_WHOL,TRA_OTS_M,MD,[PJ],19.838,1.043,20.694
ITAL_WHOL,TRA_OT_LB,GSL,[PJ],7.16,0.148,1.057
ITAL_WHOL,IN_BO_CHEM,HC1,[PJ],0.005,0.218,0.001
ITAL_WHOL,IN_BO_CON,HC1,[PJ],0.121,0.218,0.026
ITAL_WHOL,IN_BO_PAP,HC1,[PJ],0.009,0.218,0.002
ITAL_WHOL,PP_NEW,GSL,[PJ],,,
ITAL_WHOL,CON_COMB,DC,[PJ],,,
ITAL_WHOL,IN_BO_CON,DC,[PJ],,,
ITAL_WHOL,TRA_OTS_L,MD,[PJ],20.066,1.043,20.932
ITAL_WHOL,TRA_OT_LB,MD,[PJ],,,
ITAL_WHOL,IN_BO_CHEM,DC,[PJ],,,
ITAL_WHOL,CON_COMB,OS2,[PJ],,,
ITAL_WHOL,PR_COKE,NOF,[Mt],1.72,0.44,0.757
ITAL_WHOL,PR_SUAC,NOF,[Mt],,,
ITAL_WHOL,CON_COMB,HC3,[PJ],,,
ITAL_WHOL,IN_BO_OTH_L,HC2,[PJ],,,
ITAL_WHOL,IN_BO_OTH_S,HC2,[PJ],,,
ITAL_WHOL,PP_EX_L,BC2,[PJ],,,
ITAL_WHOL,PP_EX_L,HC2,[PJ],,,
ITAL_WHOL,PP_EX_S,BC2,[PJ],,,
ITAL_WHOL,PP_NEW_L,BC2,[PJ],,,
ITAL_WHOL,PP_EX_L,HC3,[PJ],,,
ITAL_WHOL,PP_NEW,MD,[PJ],,,
ITAL_WHOL,CON_COMB,GSL,[PJ],,,
ITAL_WHOL,TRA_OT_AGR,LPG,[PJ],,,
ITAL_WHOL,IN_BO_CON,OS2,[PJ],,,
ITAL_WHOL,IN_BO_PAP,DC,[PJ],,,
ITAL_WHOL,IN_BO_CON,GSL,[PJ],,,
ITAL_WHOL,PP_EX_OTH,DC,[PJ],,,
ITAL_WHOL,PP_MOD,BC1,[PJ],,,
ITAL_WHOL,PP_MOD,HC1,[PJ],,,
ITAL_WHOL,PP_NEW,DC,[PJ],,,
ITAL_WHOL,TRA_OT_LB,LPG,[PJ],,,
ITAL_WHOL,TRA_RD_HDB,GSL,[PJ],,,
ITAL_WHOL,TRA_RD_HDT,GSL,[PJ],,,
ITAL_WHOL,PP_IGCC,OS1,[PJ],,,
ITAL_WHOL,PP_IGCC,OS2,[PJ],,,
ITAL_WHOL,DOM,BC2,[PJ],,,
ITAL_WHOL,DOM,HC2,[PJ],,,
