Calculation details: PM PM_10 emissions by source category,,,,,,
,,,,,,
Pollutant: PM (PM Fraction: PM_10),,,,,,
Scenario: REF_post2014_CLE,,,,,,
Year: 2005,,,,,,
,,,,,,
Region,Sector,Activity,[Unit],activity,impl_ef,emiss
ITAL_WHOL,TRA_RD_HDB,LPG,[PJ],,,
ITAL_WHOL,TRA_RD_HDT,GSL,[PJ],,,
ITAL_WHOL,CON_COMB,OS1,[PJ],,,
ITAL_WHOL,CON_COMB3,BC1,[PJ],,,
ITAL_WHOL,DOM,CHCOA,[PJ],,,
ITAL_WHOL,DOM_MB_A,HC1,[PJ],,,
ITAL_WHOL,IN_BO_OTH_L,HC1,[PJ],,,
ITAL_WHOL,IN_BO_OTH_S,HC1,[PJ],,,
ITAL_WHOL,IN_OC,GSL,[PJ],4.138,0.001,0.002
ITAL_WHOL,PP_EX_OTH,GSL,[PJ],33.955,0.001,0.017
ITAL_WHOL,PP_NEW,OS1,[PJ],4.626,0.008,0.036
ITAL_WHOL,PP_NEW_L,BC1,[PJ],0.003,0.176,0.001
ITAL_WHOL,PP_NEW_L,HC1,[PJ],,,
ITAL_WHOL,PR_BRIQ,NOF,[Mt],,,
ITAL_WHOL,TRA_OT_CNS,LPG,[PJ],,,
ITAL_WHOL,TRA_RD_LD4C,GAS,[PJ],17.591,0.001,0.011
ITAL_WHOL,TRA_RD_LD4C,LPG,[PJ],45.569,0.001,0.042
ITAL_WHOL,IN_BO_CHEM,GSL,[PJ],0.423,0.001,0
ITAL_WHOL,IN_BO_OTH,GSL,[PJ],0.377,0.001,0
ITAL_WHOL,IN_BO_PAP,HC1,[PJ],,,
ITAL_WHOL,MINE_HC,NOF,[Mt],0.094,0.028,0.003
ITAL_WHOL,OTHER_PM,NOF,[kt PM (TSP)],,,
ITAL_WHOL,PR_CBLACK,NOF,[Mt],0.226,0.237,0.053
ITAL_WHOL,TRA_OTS_L,HF,[PJ],33.263,0.119,3.95
ITAL_WHOL,TRA_OTS_M,MD,[PJ],28.87,0.027,0.784
ITAL_WHOL,TRA_OT_LB,GSL,[PJ],8.799,0.028,0.249
ITAL_WHOL,TRA_RD_HDB,GAS,[PJ],0.845,0.001,0.001
ITAL_WHOL,TRA_RD_HDB,GSL,[PJ],,,
ITAL_WHOL,TRA_RD_HDT,GAS,[PJ],,,
ITAL_WHOL,TRA_RD_HDT,LPG,[PJ],,,
ITAL_WHOL,TRA_RD_LD4T,GAS,[PJ],1.353,0,0.001
ITAL_WHOL,TRA_RD_LD4T,LPG,[PJ],2.009,0.001,0.001
ITAL_WHOL,IN_BO_CHEM,HC1,[PJ],0.001,0.018,0
ITAL_WHOL,PR_ALPRIM,NOF,[Mt],0.193,1.988,0.384
